case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt10_u64_v06_b256,ntt10_u64-batch256,2,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,baseline,0.065845,3887904.211087,1
ntt12_u32_v07_b1,ntt12_u32-batch1,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid-dataflow,0.076644,13047.275545,1
ntt10_u64_v06_b512,ntt10_u64-batch512,3,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,baseline,0.102572,4991614.121465,1
ntt10_u64_v07_search_b512,ntt10_u64-batch512,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,hybrid-dataflow,0.029024,17640417.486043,1
ntt12_u32_v07_b1,ntt12_u32-batch1,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid-dataflow,0.076653,13045.881807,1
ntt12_u64_v06_b160,ntt12_u64-batch160,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.052386,3054263.254892,1
ntt12_u32_v06_search_b512,ntt12_u32-batch512,3,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid2d,0.085144,6013373.797557,1
ntt12_u32_v06_b160,ntt12_u32-batch160,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid2d,0.035594,4495109.342405,1
ntt12_u32_v07_b512,ntt12_u32-batch512,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid-dataflow,0.304789,1679847.985702,1
ntt12_u32_v07_b16,ntt12_u32-batch16,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid-dataflow,0.069988,228609.483592,1
ntt12_u64_v06_b160,ntt12_u64-batch160,3,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.048859,3274720.320744,1
ntt12_u32_v07_b256,ntt12_u32-batch256,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid-dataflow,0.176896,1447178.076787,1
ntt10_u64_v06_search_b80,ntt10_u64-batch80,3,v0.6-search-tile256,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,tile256,0.017150,4664736.275850,1
ntt12_u32_v07_b160,ntt12_u32-batch160,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid-dataflow,0.077515,2064123.206650,1
ntt10_u64_v06_search_b256,ntt10_u64-batch256,3,v0.6-search-tile256,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,tile256,0.030480,8398844.091236,1
ntt10_u64_v06_b512,ntt10_u64-batch512,1,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,baseline,0.088406,5791461.367068,1
ntt10_u64_v07_b80,ntt10_u64-batch80,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,hybrid-dataflow,0.042039,1902981.538856,1
ntt10_u64_v06_b1,ntt10_u64-batch1,2,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,baseline,0.024799,40323.827265,1
ntt12_u32_v07_b16,ntt12_u32-batch16,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid-dataflow,0.065939,242646.829624,1
ntt12_u64_v07_search_b1,ntt12_u64-batch1,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.019556,51134.278805,1
ntt12_u64_v07_b256,ntt12_u64-batch256,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid-dataflow,0.455950,561464.642459,1
ntt10_u64_v07_search_b1,ntt10_u64-batch1,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,hybrid-dataflow,0.006105,163797.798373,1
ntt12_u32_v07_search_b160,ntt12_u32-batch160,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid-dataflow,0.023656,6763483.581184,1
ntt12_u64_v07_b80,ntt12_u64-batch80,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid-dataflow,0.114506,698654.989599,1
ntt10_u64_v07_b16,ntt10_u64-batch16,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,hybrid-dataflow,0.041796,382815.550576,1
ntt12_u64_v07_search_b1,ntt12_u64-batch1,3,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid-dataflow,0.019517,51236.226786,1
ntt10_u64_v06_b80,ntt10_u64-batch80,1,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,baseline,0.035381,2261084.608693,1
ntt12_u64_v06_search_b1,ntt12_u64-batch1,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid2d,0.007674,130312.585591,1
ntt10_u64_v06_b80,ntt10_u64-batch80,3,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,80,1152921504606584833,60,30,500,baseline,0.035322,2264886.532803,1
ntt12_u64_v06_b1,ntt12_u64-batch1,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid2d,0.007672,130347.372353,1
ntt12_u32_v07_search_b1,ntt12_u32-batch1,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid-dataflow,0.013097,76353.595036,1
ntt12_u64_v07_b512,ntt12_u64-batch512,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid-dataflow,0.802271,638188.146430,1
ntt10_u64_v07_search_b160,ntt10_u64-batch160,3,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,hybrid-dataflow,0.009126,17532541.516364,1
ntt10_u64_v07_search_b512,ntt10_u64-batch512,3,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,hybrid-dataflow,0.025747,19885460.017102,1
ntt12_u32_v06_search_b160,ntt12_u32-batch160,3,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid2d,0.027064,5911842.668633,1
ntt12_u32_v06_search_b80,ntt12_u32-batch80,3,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,80,1073479681,30,30,500,hybrid2d,0.016079,4975480.709237,1
ntt12_u32_v06_b256,ntt12_u32-batch256,3,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid2d,0.048208,5310336.080376,1
ntt12_u64_v06_search_b512,ntt12_u64-batch512,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid2d,0.125778,4070666.450890,1
ntt12_u64_v07_b160,ntt12_u64-batch160,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid-dataflow,0.233808,684322.539745,1
ntt12_u32_v06_search_b16,ntt12_u32-batch16,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid2d,0.007645,2092820.739890,1
ntt10_u64_v07_b512,ntt10_u64-batch512,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,hybrid-dataflow,0.115163,4445866.967546,1
ntt12_u32_v07_search_b512,ntt12_u32-batch512,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid-dataflow,0.086049,5950114.313372,1
ntt10_u64_v06_b16,ntt10_u64-batch16,1,v0.6-fixed-baseline,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,baseline,0.026010,615157.465899,1
