group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
ntt10_u64-batch1,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.026718,0.026298,0.028617,0.086795,0.086795,unstable,unstable,1,1.000000
ntt10_u64-batch1,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.011024,0.011020,0.011334,0.028483,0.028483,stable,below-timing-floor,1,2.423621
ntt10_u64-batch1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.041708,0.041703,0.048822,0.170687,0.170687,unstable,unstable,1,0.640597
ntt10_u64-batch1,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.030841,0.030841,0.032031,0.038585,0.038585,unstable,unstable,1,0.866314
ntt10_u64-batch16,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.026931,0.026927,0.026946,0.000706,0.000706,stable,stable,1,1.000000
ntt10_u64-batch16,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.012374,0.012366,0.014387,0.163326,0.163326,unstable,below-timing-floor,1,2.176418
ntt10_u64-batch16,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.043454,0.041808,0.048937,0.164059,0.164059,unstable,unstable,1,0.619759
ntt10_u64-batch16,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.036325,0.036311,0.036334,0.000633,0.000633,stable,stable,1,0.741390
ntt10_u64-batch160,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.044626,0.044622,0.051792,0.160669,0.160669,unstable,unstable,1,1.000000
ntt10_u64-batch160,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.023112,0.022800,0.023519,0.031109,0.031109,unstable,unstable,1,1.930858
ntt10_u64-batch160,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.045902,0.045896,0.047706,0.039432,0.039432,unstable,unstable,1,0.972202
ntt10_u64-batch160,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.039707,0.035240,0.039709,0.112549,0.112549,unstable,unstable,1,1.123882
ntt10_u64-batch256,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.056480,0.056472,0.065855,0.166130,0.166130,unstable,unstable,1,1.000000
ntt10_u64-batch256,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.030566,0.030497,0.031642,0.037460,0.037460,unstable,unstable,1,1.847805
ntt10_u64-batch256,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.062341,0.062286,0.072745,0.167771,0.167771,unstable,unstable,1,0.905985
ntt10_u64-batch256,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.041882,0.040405,0.047186,0.161907,0.161907,unstable,unstable,1,1.348551
ntt10_u64-batch512,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,512,1152921504606584833,60,30,500,3,0.091507,0.091437,0.102601,0.122002,0.122002,unstable,unstable,1,1.000000
